TIME OCC,AREA,AREA NAME,Crm Cd Desc,Premis Desc,Status,Year,Month,Day,Hour,DateTime
1300,8,West LA,BURGLARY FROM VEHICLE,GARAGE/CARPORT,IC,2020,1,2,13,2020-01-02 13:00:00
1300,9,Van Nuys,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING LOT,AO,2020,1,2,13,2020-01-02 13:00:00
1300,6,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),GARAGE/CARPORT,IC,2020,1,2,13,2020-01-02 13:00:00
1350,10,West Valley,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING,AA,2020,1,2,13,2020-01-02 13:00:00
1530,10,West Valley,BURGLARY,OFFICE BUILDING/OFFICE,IC,2020,1,2,15,2020-01-02 15:00:00
1825,7,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET,IC,2020,1,2,18,2020-01-02 18:00:00
1830,10,West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,AA,2020,1,2,18,2020-01-02 18:00:00
1900,2,Rampart,ARSON,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,2,19,2020-01-02 19:00:00
1930,12,77th Street,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,2,19,2020-01-02 19:00:00
1940,8,West LA,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),DEPARTMENT STORE,IC,2020,1,2,19,2020-01-02 19:00:00
2000,9,Van Nuys,BURGLARY FROM VEHICLE,STREET,IC,2020,1,2,20,2020-01-02 20:00:00
2115,3,Southwest,VEHICLE - STOLEN,STREET,IC,2020,1,2,21,2020-01-02 21:00:00
2300,2,Rampart,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",BAR/COCKTAIL/NIGHTCLUB,IC,2020,1,2,23,2020-01-02 23:00:00
530,12,77th Street,ORAL COPULATION,SINGLE FAMILY DWELLING,AA,2020,1,3,5,2020-01-03 05:00:00
700,7,Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET,IC,2020,1,3,7,2020-01-03 07:00:00
830,5,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,AA,2020,1,3,8,2020-01-03 08:00:00
1015,1,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,2020,1,3,10,2020-01-03 10:00:00
1035,6,Hollywood,SHOPLIFTING - PETTY THEFT ($950 & UNDER),CLOTHING STORE,IC,2020,1,3,10,2020-01-03 10:00:00
1134,4,Hollenbeck,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING,IC,2020,1,3,11,2020-01-03 11:00:00
1200,2,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,3,12,2020-01-03 12:00:00
1200,3,Southwest,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,IC,2020,1,3,12,2020-01-03 12:00:00
1230,2,Rampart,ROBBERY,CLOTHING STORE,AA,2020,1,3,12,2020-01-03 12:00:00
1400,10,West Valley,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,IC,2020,1,3,14,2020-01-03 14:00:00
1600,1,Central,BURGLARY FROM VEHICLE,STREET,IC,2020,1,3,16,2020-01-03 16:00:00
1600,5,Harbor,BATTERY - SIMPLE ASSAULT,PARKING LOT,AA,2020,1,3,16,2020-01-03 16:00:00
1630,2,Rampart,BATTERY WITH SEXUAL CONTACT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2020,1,3,16,2020-01-03 16:00:00
1645,10,West Valley,BURGLARY,SINGLE FAMILY DWELLING,AA,2020,1,3,16,2020-01-03 16:00:00
1700,4,Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET,IC,2020,1,3,17,2020-01-03 17:00:00
1845,6,Hollywood,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING UNDERGROUND/BUILDING,IC,2020,1,3,18,2020-01-03 18:00:00
1900,7,Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK",IC,2020,1,3,19,2020-01-03 19:00:00
1940,1,Central,BURGLARY FROM VEHICLE,STAPLES CENTER *,IC,2020,1,3,19,2020-01-03 19:00:00
1940,2,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET,IC,2020,1,3,19,2020-01-03 19:00:00
