DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200312028,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,0125,03,Southwest,0312,1,251,SHOTS FIRED AT INHABITED DWELLING,0329 1202 1822,60,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,251,,,,2900 S  REDONDO                      BL,,34.0271,-118.3585
201222162,10/07/2020 12:00:00 AM,10/07/2020 12:00:00 AM,0900,12,77th Street,1205,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0371 0906 1822 0334,24,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,230,761,,,VERMONT                      AV,50TH                         ST,33.9978,-118.2915
200208387,03/31/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1900,02,Rampart,0261,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  CARONDELET                   ST,,34.0584,-118.281
200909837,05/18/2020 12:00:00 AM,05/12/2020 12:00:00 AM,1810,09,Van Nuys,0963,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0352 0344 0394,34,F,F,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,15100    MAGNOLIA                     BL,,34.1649,-118.4618
201008675,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,1000,10,West Valley,1008,2,624,BATTERY - SIMPLE ASSAULT,1812 0913 2004 0416,47,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,BALBOA                       BL,ROSCOE                       BL,34.2212,-118.5027
201011604,07/31/2020 12:00:00 AM,07/09/2020 12:00:00 AM,1340,10,West Valley,1065,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0394,39,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,NEWCASTLE,VENTURA,34.1648,-118.5244
201218009,08/07/2020 12:00:00 AM,08/07/2020 12:00:00 AM,0550,12,77th Street,1269,1,210,ROBBERY,1822 0305 0390 0344,34,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,MANCHESTER                   AV,CENTRAL                      AV,33.9602,-118.2564
200405697,02/13/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2300,04,Hollenbeck,0461,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1100 1407 0329,0,F,H,101,STREET,,,IC,Invest Cont,740,998,,,300 S  PECAN                        ST,,34.0453,-118.2218
200407822,04/14/2020 12:00:00 AM,04/06/2020 12:00:00 AM,1100,04,Hollenbeck,0451,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 N  MYERS                        ST,,34.0478,-118.2288
201226495,12/16/2020 12:00:00 AM,12/15/2020 12:00:00 AM,2200,12,77th Street,1211,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5400    BRYNHURST                    AV,,33.9909,-118.3333
200412026,08/22/2020 12:00:00 AM,08/21/2020 12:00:00 AM,1850,04,Hollenbeck,0468,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0311,41,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,100 S  CONCORD                      ST,,34.0375,-118.1969
200910314,05/30/2020 12:00:00 AM,05/29/2020 12:00:00 AM,2215,09,Van Nuys,0914,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,25,F,H,108,PARKING LOT,,,AO,Adult Other,740,,,,14900    VANOWEN                      ST,,34.1976,-118.4574
201213261,05/16/2020 12:00:00 AM,05/16/2020 12:00:00 AM,1800,12,77th Street,1205,2,922,CHILD STEALING,0913,41,M,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,922,,,,4800 S  BUDLONG                      AV,,33.9992,-118.2959
200508408,04/18/2020 12:00:00 AM,04/18/2020 12:00:00 AM,1200,05,Harbor,0528,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,1200    BLINN                        AV,,33.7876,-118.2452
200517938,12/18/2020 12:00:00 AM,12/18/2020 12:00:00 AM,0342,05,Harbor,0501,1,310,BURGLARY,0344 0358 1402 1602 0397,0,X,X,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,600 W  184TH                        ST,,33.8684,-118.2842
200912991,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,0530,09,Van Nuys,0964,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,5000    STERN                        AV,,34.1612,-118.4346
200704920,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,2130,07,Wilshire,0723,1,330,BURGLARY FROM VEHICLE,1300 1822 1609 0344,26,F,W,101,STREET,,,IC,Invest Cont,330,,,,3RD                          ST,EDINBURGH                    AV,34.0719,-118.3637
201224479,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,0200,12,77th Street,1208,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0443 0319 0334 0302 1309,47,M,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,230,,,,HOOVER                       ST,48TH                         ST,33.9996,-118.2871
200712310,08/02/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1230,07,Wilshire,0735,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,81,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,341,998,,,HAUSER,WILSHIRE                     BL,34.0624,-118.3514
201009608,06/02/2020 12:00:00 AM,06/02/2020 12:00:00 AM,0010,10,West Valley,1003,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2002 1816 0906 0400 0561 0913 0416 0447,38,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,7800    BAIRD                        AV,,34.212,-118.5374
